# detector ID, old position (x), old position (y), old position (z), calibrated position (x), calibrated position (y), calibrated position (z), calib. L2, calib. 2\theta, calib. \phi, delta L2 (calibrated - old), difc, zero
115056,-1.4903175,0.0000000,-0.1701847,-1.4520487,0.0000000,-0.1658147,1.4614855051,1.6844973564,3.1415927410,-0.0385174826,19415.0468750000,-3.6522059441
115057,-1.4899831,0.0000000,-0.1731660,-1.4697424,0.0000000,-0.1708136,1.4796351194,1.6864973307,3.1415927410,-0.0203768704,19439.2148437500,-14.7582864761
115058,-1.4896487,0.0000000,-0.1761473,-1.4858820,0.0000000,-0.1757019,1.4962341785,1.6884973049,3.1415927410,-0.0037928775,19462.7890625000,-24.0744590759
115059,-1.4893143,0.0000000,-0.1791286,-1.4640899,0.0000000,-0.1760947,1.4746417999,1.6904972792,3.1415927410,-0.0254061986,19471.9082031250,-12.1767158508
115060,-1.4889798,0.0000000,-0.1821099,-1.4708022,0.0000000,-0.1798867,1.4817619324,1.6924970150,3.1415927410,-0.0183130857,19491.8632812500,-14.9129304886
115061,-1.4886454,0.0000000,-0.1850912,-1.4531209,0.0000000,-0.1806743,1.4643099308,1.6944968700,3.1415927410,-0.0357981063,19502.4902343750,-6.2335147858
115062,-1.4883110,0.0000000,-0.1880725,-1.4514243,0.0000000,-0.1834113,1.4629669189,1.6964964867,3.1415927410,-0.0371801034,19519.1953125000,-7.8620824814
115063,-1.4879766,0.0000000,-0.1910538,-1.4502405,0.0000000,-0.1862086,1.4621461630,1.6984959841,3.1415927410,-0.0380458795,19536.0781250000,-7.4371290207
115064,-1.4876422,0.0000000,-0.1940351,-1.4534980,0.0000000,-0.1895817,1.4658094645,1.7004954815,3.1415927410,-0.0344334766,19554.6445312500,-7.7366394997
115065,-1.4873078,0.0000000,-0.1970164,-1.4416213,0.0000000,-0.1909646,1.4542143345,1.7024947405,3.1415927410,-0.0460855886,19567.3886718750,-4.7965478897
115066,-1.4869734,0.0000000,-0.1999977,-1.4542159,0.0000000,-0.1955919,1.4673105478,1.7044938803,3.1415927410,-0.0330524519,19589.5019531250,-10.1453266144
115067,-1.4866390,0.0000000,-0.2029790,-1.4510016,0.0000000,-0.1981133,1.4644639492,1.7064927816,3.1415927410,-0.0359680206,19605.5292968750,-7.5071725845
115068,-1.4863046,0.0000000,-0.2059603,-1.4564466,0.0000000,-0.2018229,1.4703636169,1.7084915638,3.1415927410,-0.0301432796,19624.8691406250,-9.3378772736
115069,-1.4854980,0.0000000,-0.2116993,-1.4634568,0.0000000,-0.2085582,1.4782429934,1.7123538256,3.1415927410,-0.0222639497,19660.8496093750,-11.7427034378
115070,-1.4849977,0.0000000,-0.2146573,-1.4480925,0.0000000,-0.2093226,1.4631431103,1.7143524885,3.1415927410,-0.0372887924,19672.1152343750,-5.5117397308
115071,-1.4844974,0.0000000,-0.2176153,-1.4711975,0.0000000,-0.2156656,1.4869208336,1.7163515091,3.1415927410,-0.0134420833,19698.2265625000,-12.3838634491
115072,-1.4839971,0.0000000,-0.2205732,-1.4473922,0.0000000,-0.2151325,1.4632929564,1.7183506489,3.1415927410,-0.0370070525,19706.1835937500,-7.4533944130
115073,-1.4834968,0.0000000,-0.2235312,-1.4612781,0.0000000,-0.2201833,1.4777734280,1.7203499079,3.1415927410,-0.0224695448,19728.7109375000,-10.8250617981
115074,-1.4829965,0.0000000,-0.2264892,-1.4373054,0.0000000,-0.2195111,1.4539711475,1.7223492861,3.1415927410,-0.0462208986,19736.5449218750,-3.4645938873
115075,-1.4824962,0.0000000,-0.2294472,-1.4275691,0.0000000,-0.2209461,1.4445660114,1.7243489027,3.1415927410,-0.0555810370,19749.8710937500,6.2808794975
115076,-1.4819959,0.0000000,-0.2324052,-1.5060772,0.0000000,-0.2361816,1.5244836807,1.7263485193,3.1415927410,0.0243756399,19797.4941406250,-35.8648262024
115077,-1.4814956,0.0000000,-0.2353632,-1.4571437,0.0000000,-0.2314944,1.4754177332,1.7283482552,3.1415927410,-0.0246572513,19795.5468750000,-8.4474582672
115078,-1.4809953,0.0000000,-0.2383212,-1.4394066,0.0000000,-0.2316287,1.4579243660,1.7303481102,3.1415927410,-0.0421236828,19805.7031250000,-2.4160528183
115079,-1.4804950,0.0000000,-0.2412792,-1.4570587,0.0000000,-0.2374597,1.4762815237,1.7323479652,3.1415927410,-0.0237454958,19829.6367187500,-10.8077831268
115080,-1.4799947,0.0000000,-0.2442371,-1.4373895,0.0000000,-0.2372062,1.4568306208,1.7343479395,3.1415927410,-0.0431814343,19838.9863281250,-1.2035402060
115081,-1.4794944,0.0000000,-0.2471951,-1.4361810,0.0000000,-0.2399583,1.4560892582,1.7363479137,3.1415927410,-0.0439137295,19855.5234375000,-3.1325249672
115082,-1.4789941,0.0000000,-0.2501531,-1.4489326,0.0000000,-0.2450686,1.4695115089,1.7383478880,3.1415927410,-0.0304884426,19877.5097656250,-8.6433820724
115083,-1.4784937,0.0000000,-0.2531111,-1.4422626,0.0000000,-0.2469085,1.4632447958,1.7403479815,3.1415927410,-0.0367582552,19891.8769531250,-4.6223721504
115084,-1.4779934,0.0000000,-0.2560691,-1.4467121,0.0000000,-0.2506495,1.4682645798,1.7423479557,3.1415927410,-0.0317474045,19910.5839843750,-7.9531784058
